reaction_name,image_filename,status
Aldol Reaction,schemes/aldol.png,added
Appel Reaction,schemes/appel.png,MISSING
Arndt–Eistert Synthesis,schemes/arndt-eistert.png,added
Baeyer–Villiger Oxidation,schemes/baeyer-villiger.png,added
Morita–Baylis–Hillman Reaction,schemes/baylis-hillman.png,added
Beckmann Rearrangement,schemes/beckmann.png,added
Birch Reduction,schemes/birch.png,added
Buchwald–Hartwig Cross-Coupling,schemes/buchwald-hartwig.png,MISSING
Cannizzaro Reaction,schemes/cannizzaro.png,MISSING
Chan–Evans–Lam Cross-Coupling,schemes/chan-lam.png,MISSING
Claisen Condensation,schemes/claisen-cond.png,added
Claisen Rearrangement,schemes/claisen-rearr.png,added
Corey–Fuchs Alkynylation,schemes/corey-fuchs.png,added
Curtius Rearrangement,schemes/curtius.png,added
Dess–Martin Oxidation,schemes/dess-martin.png,added
Diels–Alder Reaction,schemes/diels-alder.png,added
Dieckmann Condensation,schemes/dieckmann.png,added
Eschweiler–Clarke Reaction,schemes/eschweiler-clarke.png,MISSING
Finkelstein Reaction,schemes/finkelstein.png,added
Fischer Esterification,schemes/fischer-ester.png,MISSING
Fischer Indole Synthesis,schemes/fischer-indole.png,added
Friedel–Crafts Acylation,schemes/friedel-crafts-acyl.png,added
Friedel–Crafts Alkylation,schemes/friedel-crafts-alkyl.png,added
Gabriel Synthesis,schemes/gabriel.png,added
Grignard Reaction,schemes/grignard.png,added
Olefin (Alkene) Metathesis,schemes/grubbs.png,MISSING
Heck Cross-Coupling,schemes/heck.png,added
Hofmann Elimination,schemes/hofmann-elim.png,MISSING
Hofmann Rearrangement,schemes/hofmann-rearr.png,added
Horner–Wadsworth–Emmons,schemes/hwe.png,added
Hunsdiecker Reaction,schemes/hunsdiecker.png,MISSING
Jones Oxidation,schemes/jones.png,MISSING
Kolbe–Schmitt Reaction,schemes/kolbe-schmitt.png,MISSING
Knoevenagel Condensation,schemes/knoevenagel.png,added
Mannich Reaction,schemes/mannich.png,added
McMurry Coupling,schemes/mcmurry.png,MISSING
Michael Addition,schemes/michael.png,added
Mitsunobu Reaction,schemes/mitsunobu.png,added
Mukaiyama Aldol Reaction,schemes/mukaiyama.png,added
Negishi Cross-Coupling,schemes/negishi.png,added
Nozaki–Hiyama–Kishi,schemes/nozaki-hiyama.png,MISSING
Ozonolysis,schemes/ozonolysis.png,MISSING
Paal–Knorr Syntheses,schemes/paal-knorr.png,MISSING
Passerini Reaction,schemes/passerini.png,MISSING
Pinacol–Pinacolone Rearrangement,schemes/pinacol.png,added
Prins Reaction,schemes/prins.png,added
Reformatsky Reaction,schemes/reformatsky.png,added
Ritter Reaction,schemes/ritter.png,added
Robinson Annulation,schemes/robinson.png,added
Sandmeyer Reaction,schemes/sandmeyer.png,MISSING
Sonogashira Cross-Coupling,schemes/sonogashira.png,added
Staudinger Reaction,schemes/staudinger.png,added
Stille Cross-Coupling,schemes/stille.png,added
Strecker Reaction,schemes/strecker.png,added
Suzuki–Miyaura Cross-Coupling,schemes/suzuki.png,added
Swern Oxidation,schemes/swern.png,added
Ugi Reaction,schemes/ugi.png,MISSING
